
"Banco de México"

"Índices de Precios al Consumidor y UDIS"
"Inflación"

"Fecha de consulta: 09/03/2021 12:02:12"

"Aviso importante: Algunas de las series que está consultando registra un cambio, por favor consulte los metadatos de las mismas."

"Título","Índice Nacional de Precios al consumidor, variación anual"
"Periodo disponible","Ene 1970 - Ene 2021"
"Periodicidad","Mensual"
"Cifra","Porcentajes"
"Unidad","Sin Unidad"
"Base",""
"Aviso","Acorde con la Ley del Sistema Nacional de Información Estadística y Geográfica, publicada en el Diario Oficial de la Federación el 16 de abril de 2008, a partir del 15 de julio de 2011 el Instituto Nacional de Estadística y Geografía (INEGI) tiene la facultad exclusiva de elaborar y publicar los índices nacionales de precios.  En consideración a lo anterior, la información sobre la inflación referente a junio de 2011 fue la última publicada por el Banco de México. El INEGI comenzó la difusión de la información con los resultados correspondientes a la primera quincena de julio de 2011."
"Tipo de información","Índices"
"Fecha","SP30578"
01/01/1970,5.20000000
01/02/1970,4.81000000
01/03/1970,5.01000000
01/04/1970,4.87000000
01/05/1970,5.09000000
01/06/1970,5.35000000
01/07/1970,5.46000000
01/08/1970,5.84000000
01/09/1970,5.11000000
01/10/1970,4.05000000
01/11/1970,4.60000000
01/12/1970,4.69000000
01/01/1971,4.93000000
01/02/1971,5.38000000
01/03/1971,5.47000000
01/04/1971,5.87000000
01/05/1971,5.87000000
01/06/1971,5.71000000
01/07/1971,5.11000000
01/08/1971,5.58000000
01/09/1971,5.67000000
01/10/1971,5.74000000
01/11/1971,5.34000000
01/12/1971,4.96000000
01/01/1972,4.40000000
01/02/1972,4.29000000
01/03/1972,4.46000000
01/04/1972,4.58000000
01/05/1972,4.57000000
01/06/1972,4.87000000
01/07/1972,5.35000000
01/08/1972,5.08000000
01/09/1972,5.22000000
01/10/1972,5.19000000
01/11/1972,5.70000000
01/12/1972,5.56000000
01/01/1973,6.62000000
01/02/1973,7.16000000
01/03/1973,7.52000000
01/04/1973,8.54000000
01/05/1973,9.47000000
01/06/1973,9.56000000
01/07/1973,11.95000000
01/08/1973,13.00000000
01/09/1973,15.16000000
01/10/1973,16.56000000
01/11/1973,17.23000000
01/12/1973,21.37000000
01/01/1974,23.92000000
01/02/1974,25.68000000
01/03/1974,25.54000000
01/04/1974,25.26000000
01/05/1974,24.92000000
01/06/1974,25.13000000
01/07/1974,23.76000000
01/08/1974,23.09000000
01/09/1974,21.60000000
01/10/1974,22.44000000
01/11/1974,24.31000000
01/12/1974,20.60000000
01/01/1975,17.92000000
01/02/1975,15.95000000
01/03/1975,15.79000000
01/04/1975,15.20000000
01/05/1975,15.83000000
01/06/1975,16.65000000
01/07/1975,15.91000000
01/08/1975,15.69000000
01/09/1975,15.22000000
01/10/1975,13.56000000
01/11/1975,11.27000000
01/12/1975,11.31000000
01/01/1976,12.02000000
01/02/1976,13.49000000
01/03/1976,13.89000000
01/04/1976,13.72000000
01/05/1976,13.01000000
01/06/1976,11.56000000
01/07/1976,11.62000000
01/08/1976,11.72000000
01/09/1976,14.69000000
01/10/1976,20.53000000
01/11/1976,25.10000000
01/12/1976,27.20000000
01/01/1977,28.77000000
01/02/1977,29.19000000
01/03/1977,30.17000000
01/04/1977,31.22000000
01/05/1977,31.45000000
01/06/1977,32.53000000
01/07/1977,32.91000000
01/08/1977,34.35000000
01/09/1977,32.22000000
01/10/1977,26.13000000
01/11/1977,22.00000000
01/12/1977,20.66000000
01/01/1978,19.53000000
01/02/1978,18.63000000
01/03/1978,17.81000000
01/04/1978,17.35000000
01/05/1978,17.46000000
01/06/1978,17.64000000
01/07/1978,18.30000000
01/08/1978,17.07000000
01/09/1978,16.35000000
01/10/1978,16.86000000
01/11/1978,16.79000000
01/12/1978,16.17000000
01/01/1979,17.68000000
01/02/1979,17.68000000
01/03/1979,18.05000000
01/04/1979,17.80000000
01/05/1979,18.18000000
01/06/1979,17.87000000
01/07/1979,17.31000000
01/08/1979,17.91000000
01/09/1979,18.01000000
01/10/1979,18.63000000
01/11/1979,18.93000000
01/12/1979,20.02000000
01/01/1980,21.56000000
01/02/1980,22.60000000
01/03/1980,23.45000000
01/04/1980,24.49000000
01/05/1980,24.89000000
01/06/1980,25.97000000
01/07/1980,27.94000000
01/08/1980,28.64000000
01/09/1980,28.49000000
01/10/1980,28.20000000
01/11/1980,28.77000000
01/12/1980,29.85000000
01/01/1981,27.80000000
01/02/1981,27.98000000
01/03/1981,28.08000000
01/04/1981,28.72000000
01/05/1981,28.57000000
01/06/1981,27.83000000
01/07/1981,26.55000000
01/08/1981,26.54000000
01/09/1981,27.47000000
01/10/1981,28.36000000
01/11/1981,28.60000000
