t,Y1,Y2,Y3,Y4,Y5,Y6,Y7,Y8,Y9,Y10,Y11,Y12,Y13,Y14,Y15,Y16,Y17,Y18,Y19,Y20,Y21,Y22,Y23,Y24,Y25,Y26,Y27,Y28,Y29,Y30,Y31,Y32,Y33,Y34,Y35,Y36,Y37,Y38,Y39,Y40
1,-1.014479486,-1.087363538,-0.079220251,-1.019826736,-0.083592617,0.220327973,0.466595731,-1.909804799,1.300531075,1.609480083,0.78552994,0.700456036,0.123697461,-1.381685777,0.356233976,0.088117771,-0.248140226,0.835972719,0.445536609,1.281946002,-0.434422678,-1.578244999,0.648521792,0.945901518,2.443025199,0.912264297,-0.03795524,0.788243832,-1.084735844,-1.186930596,0.984380081,-0.116811897,-1.071134043,-1.332827916,0.599286847,-2.192404204,-1.659910038,0.079581769,-0.013743787,-0.102645787
2,-1.408566806,1.007834082,1.119966207,-0.950663721,-0.752959257,1.106179424,-0.144314726,-0.531526903,-1.191032947,0.342685535,1.228033065,-1.447702285,0.086625828,2.117625781,1.558927925,0.736980388,-1.126106347,0.734662946,0.516045597,-0.760900563,0.384082517,0.497591157,-0.7735999,-0.717791225,1.227859362,-2.204707759,1.381279421,1.157308537,-1.950213375,1.279435387,-0.373630284,0.567877173,0.206803941,0.978379322,-0.348039677,-2.376523341,-1.342827186,2.214132833,1.187752022,0.156962803
3,-0.440797668,0.903805987,0.111963145,-0.281856737,-0.333252876,-1.177000909,0.586616884,0.161824717,-1.223807605,-1.92094249,2.229261581,2.58903129,-1.097070818,-0.610122612,0.432724473,-0.27670712,0.133072689,-1.580006317,-1.114771967,-1.071447589,-1.388799909,0.795602197,-0.726772168,-0.045993452,2.285694199,-0.799535363,0.237886583,-1.990140134,-2.172345077,-1.544192201,-0.711901202,0.523215397,0.987040432,0.360871396,1.210235397,-1.681816147,-0.84899092,1.504463388,-0.997500781,0.308600208
4,-0.137414415,-0.252532476,0.230128903,-0.562043905,-1.337981054,-1.274867739,0.918524792,-0.647736621,-0.113675323,0.227548783,1.182661384,-0.282892289,1.262851064,0.692280028,-0.496464031,0.847419639,0.766949164,0.252986122,0.674618023,0.629091667,-1.038481679,0.503601382,2.670782148,0.155538296,-0.215882042,-0.919319075,-1.829849181,-1.182658013,-0.558821122,-0.364455634,-1.08096538,-0.605978519,-2.090025249,-0.925830711,0.347042414,-1.872466552,-0.583780754,2.202232651,-1.703146061,0.549419574
5,1.087819446,0.946159159,-0.89522688,-1.020348507,0.895605824,-0.283214226,-0.942685096,0.501021881,-0.960881031,-1.164423759,-1.415241745,0.990127597,0.283734229,-0.932627227,-1.222851801,-2.374815343,-0.820622103,0.920979885,-0.445837645,-1.08277252,-0.972068387,-0.530954976,-0.381726267,-0.048650817,1.096111873,1.463313024,-1.038004363,2.219400182,0.416556585,-1.22898123,0.642440029,-0.210756171,1.346832847,1.442655458,-1.834130522,-0.636164429,0.408695226,1.539376099,-0.295210384,-1.148499364
6,1.754779902,0.71609904,-0.536022131,0.386806898,-1.708079576,-1.512481047,1.501192185,-1.076370372,-1.224528325,0.940343872,-0.512924483,0.117786432,1.556411761,0.026374656,-1.421259138,2.964461118,0.046757767,-0.647269921,-1.998778293,2.091276254,0.593724458,0.305014656,-0.95038839,-0.76354043,0.849670544,-1.213284352,1.936154354,0.397757735,0.068109622,-0.680473077,0.016228516,0.536795881,-0.666961393,1.300190938,2.242859787,-2.717055476,-1.765957468,1.002524262,1.710551977,-0.862577815
7,-0.867785943,0.146063516,0.02104068,-0.355434168,0.117457109,-0.321639655,-3.359267984,0.645396811,-0.208408743,2.443552684,-0.068047658,0.968017476,-0.654823968,2.454437438,-1.775194537,-0.574622879,1.033639936,1.514424193,3.031408672,-0.927002661,-1.289337193,-1.898477674,0.625867015,0.744735888,0.687538034,0.311899397,2.192570777,-2.330042479,-0.529677279,0.494199995,1.469464893,-0.243050626,0.99287145,0.227844277,0.178492326,-1.45152089,0.719197084,1.465451503,1.669905578,-0.500963261
8,-1.284608432,-1.28207344,0.266655454,-0.429133043,0.44211796,-1.461346528,2.183323629,2.365879094,2.096459756,-0.280444144,0.445621407,-0.25283409,0.621468715,-1.619689125,-1.814157524,0.151033891,-0.004854687,-0.552494632,0.109159121,0.780267125,0.222760913,2.939332344,-1.565242066,-0.009838968,0.923556479,-1.756067613,-0.643713568,-0.487255089,0.862437125,0.946997545,-1.064653847,-0.287077654,0.494756995,-1.518828316,-0.501125837,-0.458262239,-0.026159235,0.543705591,1.061303875,-0.340385508
9,0.067297546,-0.804450947,-0.68839521,-0.066069536,0.876100556,0.54175137,-0.611841234,-1.027568105,-1.644007613,-0.717014563,-0.18141046,-0.019277099,0.14224983,4.211056067,0.048828288,1.129015392,2.207671867,1.413419169,-1.38494572,-0.821558218,-1.032713405,-1.128872784,0.127316722,1.207865838,0.93371936,0.107750945,-0.779953865,1.836222683,0.209215817,-2.43753305,0.613093972,0.847989993,0.988884775,1.426475126,-0.530314724,3.167906308,-1.215895187,-0.778892089,0.463235364,0.225968241
10,0.120977364,0.930041506,-0.098152139,-0.734403152,-1.493274135,-0.598118423,1.875994265,-1.616459947,-0.627857752,-0.86713318,-0.932995206,3.590532764,0.389074808,-0.439283777,0.491621697,-0.14760061,0.960875455,-0.803634894,-0.290765027,0.372819757,0.309879312,-0.485420439,-1.095173707,-0.807914427,0.194738395,-1.201464216,0.796690558,-0.682380319,0.263189843,0.126152261,-1.150943855,0.218398598,-0.90585554,0.40330449,-0.626743672,1.874340285,-1.036936163,-1.096363919,0.074596621,-0.231105004
11,-0.739933065,-0.389347707,-0.630252504,0.712755786,-0.407210444,0.152983028,-2.235144756,-0.462183353,1.726888973,1.196440344,-0.355378468,-1.052414842,0.004353872,3.064268898,-0.602164237,-0.365654216,-0.420385914,0.247775949,1.185184444,2.594003652,-0.402266096,2.508695192,-0.589422651,0.109369028,-0.890684578,1.399726699,1.250758388,-0.750549609,0.347152666,0.189517921,-1.133067937,0.1520628,-1.313459889,0.8449427,0.242924423,0.582276359,-1.611478672,-0.607150816,-0.608738291,-1.565548154
12,-1.484020917,1.277390658,0.563462694,0.22279632,-0.674289517,1.482351878,1.124107992,0.902643071,0.478296308,1.185618319,-0.019360446,-0.512547178,-0.053348071,-0.987386093,0.052163239,-0.636041784,0.45416212,-2.239769364,0.579385896,-1.20757474,-0.317604724,-1.965305203,3.28512887,0.414426717,-1.953338277,-0.177528432,0.377223232,0.300230843,-0.279203781,0.694445046,-1.293494824,0.142810427,1.453014826,0.954161368,1.262982531,0.317722148,-2.089749698,-0.560357139,-1.338205534,-0.129160508
13,-2.100068058,1.614177406,-0.27823148,-1.718306053,1.428993618,-1.544646787,-0.46935465,-0.359603006,1.472189047,-1.58477362,2.106160282,0.948240024,0.715780736,1.505488093,-0.033065951,-0.105996478,0.365490688,0.349741312,0.76234753,-0.247276588,0.797714975,-0.675729658,-2.800527601,-1.621568688,0.344433192,-0.405458678,-0.469540491,1.126651214,1.533988635,-1.522125573,0.925003569,-0.474009747,-1.813346504,0.497082931,-1.323503306,-1.155498325,-1.273631146,-0.445732948,0.328221334,-0.351494896
14,-1.250766189,0.028771893,0.364835935,-0.682521699,-0.942259503,-1.211196749,0.994343411,-2.134611947,-1.614020535,-0.646551667,1.009820271,0.511393333,-0.751271598,-0.30158253,-0.879337392,-0.144878925,0.655585928,0.01482444,-0.779568567,0.513067926,0.389821396,0.324769887,-0.206654879,1.602003132,0.137348517,0.446183176,-0.454945152,1.030925491,-0.977505167,0.80972287,-0.12316031,1.197850975,0.780296887,-0.778214926,-0.087320619,0.327494143,0.90619444,-0.442228814,1.394761414,0.863643761
15,-0.719997043,1.060082979,-0.465888653,-0.150553121,1.104878546,-1.376159887,-0.666853852,0.182821692,-0.73500831,-0.211567205,0.291982328,1.410707898,-0.685096468,0.279354107,0.222053906,-0.140338181,1.391992622,-0.109794571,-0.049847949,1.653201211,-0.599063744,0.487905915,-0.759931346,2.46223697,1.26822607,-0.677191841,-0.510908907,-1.00821665,-0.19817561,0.607469542,1.635060434,0.218424578,-0.006067779,-0.087167495,0.582679567,-1.714126179,-1.510987537,1.059041605,-0.125095088,-0.201847908
16,0.374510497,-0.357127656,1.206138108,0.332965315,0.149977047,-1.41621194,0.427635735,1.683303377,1.231991065,2.376818299,1.595725367,-1.577546147,2.044133099,1.001570754,-0.321390108,1.004793503,0.679710395,-0.530581196,-1.510160524,0.856529668,-1.117152379,-0.269064998,1.491045038,-0.420402152,0.498247631,-0.217033343,1.006614001,0.084418851,-1.003244801,0.386605203,-0.695616863,-0.068425366,1.396612723,1.000358456,-1.410627191,-2.255885829,-0.04352407,-1.50099145,-1.986257045,1.370833647
17,0.767179094,0.231830579,-0.438821917,-0.750858172,0.500191138,-1.516503081,-1.9094598,0.286640609,-1.451311012,1.096800827,2.025587787,0.540878263,-0.482356072,0.420277082,0.887498063,-0.424428127,-0.472591906,0.432195384,-0.25705219,1.497196967,1.54700008,-0.965961091,-2.04672989,-0.990153763,-0.340298916,0.583101079,1.112255974,1.140898839,-0.398833123,0.305272983,-0.138864764,-0.255160104,-1.08138276,-0.717117757,0.192216266,-1.048340998,0.715846542,-0.246338117,-1.772812245,-1.6621596
18,1.006235539,-0.895623026,-1.512923085,-1.047066571,0.837843875,-1.752188236,1.29902673,-0.531783699,-1.180858996,-2.410874874,-0.00575365,-0.640038656,0.410920537,0.157446033,-2.321304944,-1.201790903,0.189811352,-0.645690535,-0.874579069,1.936954845,-2.250977647,-1.654196754,0.470515459,0.719131615,0.811976969,1.918025253,-1.369755542,-0.880043387,0.707882876,-1.68692386,-1.614279949,-0.086765689,0.272237851,-0.422978683,-0.843354324,-1.633351216,-1.764686564,-2.179297073,0.4930022,-0.21439813
19,0.685670543,-1.064549557,1.838776892,-0.996786421,0.012515056,-1.115320447,-2.077119579,0.952539919,0.568045747,-0.948419071,0.476671681,0.474214068,-0.035299943,-1.003546164,0.057937332,-0.968355858,-0.369317112,-2.113769819,-0.856793255,-0.10732586,0.41156466,-0.325166515,-0.810795289,0.221844339,-1.162783822,1.290761264,-0.014261529,2.065649552,-0.170989653,1.235137314,0.168655969,-1.452208334,-1.086681835,-0.123258655,0.122778173,-1.376029074,-0.11856232,0.130069886,1.083263816,-0.923447703
20,-0.044863922,2.064727386,-1.917347475,0.030980355,1.96377247,0.541608248,1.991073346,1.549037137,1.03948951,0.402811309,0.108459605,0.809342476,-0.59631595,1.26251529,1.227538421,-0.630396389,-0.930217687,-0.458599271,0.083316494,-0.278538099,2.556168705,2.466491083,1.202172471,-0.687357707,-0.968353397,0.982574458,-0.479631684,0.24057163,-0.68802548,-1.325591368,-0.297059981,0.345952862,-0.658935346,-1.062159093,-1.080138125,-1.544928676,-0.122616843,-0.734325502,0.066435936,-1.80630406
